SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(N([C@@H](C(C)C)CO)Cc1ccc(OC)cc1)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1680917029;29
S(CCC(=O)N(C(CCc1ccc(O)cc1)C)C)c1ncnc2[nH]cnc12;Z3603722444;29
O=C(C(C)n1c2ncnc(N)c2nc1)N1c2c(cc(OC)cc2)CC(C(C)C)C1;Z2641753037;29
O=C(N(C(CO)C1CCC1)Cc1ccccc1)C(C)n1c2ncnc(N)c2nc1;Z2642127362;29
O=C(N(CC(Cc1ccc(OC)cc1)C)C)CCn1c2ncnc(N)c2nc1;Z2635243035;29
S(CCC(=O)N1CC2(Oc3c(cccc3)C1)CCC2)c1ncnc2[nH]cnc12;Z2926921480;29
O=C(N(C(C)C1CC1)Cc1ccc(OC)cc1)Cn1c2ncnc(N)c2nc1;Z2499512661;29
O=C1N(C)C(=O)c2n(CCN(C(CCc3ccc(O)cc3)C)C)cnc2N1C;Z3321943834;29
O(C)c1ccc(CN([C@@H](C(C)C)CO)Cc2n(C)c3C(=O)NC(=O)N(C)c3n2)cc1;Z1620168197;29
O(C)c1ccc(CN([C@@H](C(C)C)CO)Cc2[nH]c3N(C)C(=O)N(C)C(=O)c3n2)cc1;Z1620172036;29
O=C(N(Cc1cc(OC)c(O)cc1)C1CC1)C(C)n1c2ncnc(N)c2nc1;Z2634181165;29
O=C(C(C)n1c2ncnc(N)c2nc1)N1c2c(C(CCOC)CC1)cccc2;Z3208516053;29
S(CCC(=O)N(CC1CC1)c1ccc(OC)cc1)c1ncnc2[nH]cnc12;Z2801570020;29
O(C)c1c(CN(CC2CCC2)c2ncnc3nc[nH]c23)ccc(OC)c1;s_27____9867090____16914180;29
O=C(N1c2c(O)cccc2CC(C)C1)c1ncnc2nc[nH]c12;Z3583321645;29
O=C(N1Cc2c(cc(O)c(OC)c2)CC1)c1ncnc2nc[nH]c12;s_22____13039668____12807966;29
